trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
154,False,"{'a': 0.002, 'e': 0.9535461825191301}",20,0,-95.01856415281199,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
155,False,"{'a': 0.002, 'e': 0.9529417820853506}",20,0,-92.92598847407756,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
156,False,"{'a': 0.002, 'e': 0.9523335698857134}",20,0,-72.67849551437482,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
157,False,"{'a': 0.002, 'e': 0.9517215483530664}",30,0,-174.29275436678347,"{0: 16, 1: 4, 2: 7, 3: 1, 4: 2}",0
158,False,"{'a': 0.002, 'e': 0.951105719935495}",30,0,-108.57267650333617,"{0: 16, 1: 6, 2: 6, 3: 2, 4: 0}",0
159,False,"{'a': 0.002, 'e': 0.9504860870963119}",20,10,-23.257429213986125,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 0}",1
160,False,"{'a': 0.002, 'e': 0.9498626523140478}",35,0,-98.405855014627,"{0: 19, 1: 8, 2: 8, 3: 0, 4: 0}",0
161,False,"{'a': 0.002, 'e': 0.9492354180824408}",20,0,-32.87983531859068,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
162,False,"{'a': 0.002, 'e': 0.9486043869104273}",20,0,-62.0383485709414,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
163,False,"{'a': 0.002, 'e': 0.9479695613221308}",20,0,-94.39596208406681,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
164,False,"{'a': 0.002, 'e': 0.9473309438568531}",20,9,-76.7881935812656,"{0: 6, 1: 1, 2: 2, 3: 1, 4: 1}",1
165,False,"{'a': 0.002, 'e': 0.9466885370690631}",20,3,-49.46916253907585,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 0}",1
166,False,"{'a': 0.002, 'e': 0.946042343528387}",20,0,-104.82989433183072,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 1}",0
167,False,"{'a': 0.002, 'e': 0.9453923658195982}",25,0,-158.0270160249673,"{0: 15, 1: 4, 2: 1, 3: 3, 4: 2}",0
168,False,"{'a': 0.002, 'e': 0.9447386065426066}",25,0,-121.01906673968035,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
169,False,"{'a': 0.002, 'e': 0.9440810683124485}",25,0,-60.66593997784801,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
170,False,"{'a': 0.002, 'e': 0.9434197537592759}",20,0,-33.66144357537728,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
171,False,"{'a': 0.002, 'e': 0.9427546655283462}",25,17,8.543968620348757,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.002, 'e': 0.9420858062800114}",25,0,-40.5571137095138,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
173,False,"{'a': 0.002, 'e': 0.9414131786897075}",25,0,-166.21209434425586,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
174,False,"{'a': 0.002, 'e': 0.9407367854479443}",20,0,-84.60067974237326,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
175,False,"{'a': 0.002, 'e': 0.9400566292602934}",20,0,-78.58461876159706,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
176,False,"{'a': 0.002, 'e': 0.9393727128473789}",25,0,-136.4789934076837,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
177,False,"{'a': 0.002, 'e': 0.9386850389448655}",20,4,-80.7170649288123,"{0: 9, 1: 1, 2: 3, 3: 3, 4: 0}",1
178,False,"{'a': 0.002, 'e': 0.937993610303448}",20,0,-98.89466317972972,"{0: 8, 1: 4, 2: 7, 3: 1, 4: 0}",0
179,False,"{'a': 0.002, 'e': 0.9372984296888399}",20,7,-56.57290034658797,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 1}",1
180,False,"{'a': 0.002, 'e': 0.9365994998817627}",20,0,-197.97469789488866,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 4}",0
181,False,"{'a': 0.002, 'e': 0.9358968236779348}",25,0,-128.62367255585642,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
182,False,"{'a': 0.002, 'e': 0.9351904038880602}",25,0,-227.39074419961966,"{0: 12, 1: 2, 2: 5, 3: 3, 4: 3}",0
183,False,"{'a': 0.002, 'e': 0.9344802433378168}",25,0,-73.97813505631458,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
